sourceFile,sheetName,rowNumber,positionNumber,description,unit,quantity,unitPrice,total,calculationText,confidence,issues
Faqja 7.xlsx,Sheet1,28,5.3,"Furnizimi me material si dhe montimi i ulëseve me gjatësi të caktuar dei ne 10 m dhe gjerësi 400 mm nga druri. Në çmim duhet të parashihet edhe ankerimi per dysheme . Në çmim parashihet edhe lyerja me material për mbrojtje kundër lagështisë, insekteve, këpurdhave si dhe lyerja përfundimtare. Punëkryesi obligohet që para vurjes në veper të marr aprovomin nga ana e organit mbikëqyrës si dhe gjithashtu paraprakisht të prezentoj çertifikatat dhe atestet e nevojshme për aprovim nga ana e organit mbikëqyrës. Lloji i ulëseve duhet të jetë i patentuar dhe i çertifikuar",m,10,65,650,10.00 x 65.00 = 650.00,0.84,
Faqja 8.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 8.xlsx,Sheet1,11,,V. PUNIMET TË TJERA,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 8.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 8.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 8.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 8.xlsx,Sheet1,16,5.4,Furnizimi me material si dhe montimi i tavolinave me gjatësi të ndryshme dhe gjerësi 400/800 mm nga druri. Llog. ne copë,cope,6,95,570,6.00 x 95.00 = 570.00,0.84,
Faqja 8.xlsx,Sheet1,20,5.5,"Furnizimi me material si dhe montimi i shportave të plehrave me dimensione jashtme 27/27 cm dhe lartesi H= 68 cm me kapacitet 20 litërsh. Shporta është me mekanizem per largimin e plehut, punëkryesi obligohet që para vurjes në veper të marr aprovomin nga ana e organit mbikëqyrës . Lloji i shportes duhet të jet i patentuar dhe çertifikuar.",,6,52,312,6.00 x 52.00 = 312.00,0.84,
Faqja 8.xlsx,Sheet1,25,5.6,"Blerja e materialeve, transporti si dhe punimi i instalimit elektrik të ndriçimit me përçues të tipit PP-Y 3x1.5 mm², komplet 1kV me punimin e brazdave në mur me montimin e kutive lidhëse.Llogaritja për copë Furnizimi nga lidhja me e afert e objektit.Llog në komplet",komplet,1,50,50,1.00 x 50.00 = 50.00,0.84,
Faqja 8.xlsx,Sheet1,30,5.7,"Blerja e materialeve, transporti si dhe Montimi dhe lidhja e llambës murale te jashteme ISOBA 7W, prodhimi ""EGLO"", IP 43 ose të ngjashme paguhet një komplet me aksesorët përkatës të montimit.Llogaritja për copë.",komplet,4,30,120,4.00 x 30.00 = 120.00,0.84,
Faqja 9.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 9.xlsx,Sheet1,11,,V. PUNIMET TË TJERA,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 9.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 9.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 9.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 9.xlsx,Sheet1,16,5.8,"Blerja e materialeve, transporti si dhe punimi dhe montimi i konektorit schuko serial 16A, 250V 50 Hz IP20, mbrojtja per ne muri dypole me kontakt tokezimi dhe insert porcelani.Llog. per copë.",cope,3,10,30,3.00 x 10.00 = 30.00,0.84,
Faqja 9.xlsx,Sheet1,23,5.9,"Furnizimi me material si dhe montimi i nje shkalle nga pllaka metalike 250x300x1000 x6 mm me nenkonstruksion metalik nga profilet mbajtese dhe ankerime per dysheme Shkalla vendoset ne pozicionin e hyrje- dalje ne teraco dhe sherben per mbrojtjen e tubave horizontale te ngrohjes qendrore .Ne cmim te parashifet izolimi i gypave me matrjal nga nje unaz metalike me mbushje nga shkuma purpen, punëkryesi obligohet që para vurjes në veper të marr aprovomin nga ana e organit mbikëqyrës . Lloji i ne komplet",komplet,1,350,350,1.00 x 350.00 = 350.00,0.84,
Faqja 9.xlsx,Sheet1,28,5.10,Furnizimi me material si dhe punimi I hidroizolimit horizontal dhe vertikal i siperfaqeve te teracos se kulmit ne nivelin me gjersi te zhvilluar (120+42 ) cm.Në çmim te parashifet pastrimi I siperfaqeve nga mbeturinat ne siperfaqet e izolimit egzistues.Llog ne m²,m,64.8,12,777.6,64.80 x 12.00 = 777.60,0.84,
Faqja 10.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 10.xlsx,Sheet1,11,,V. PUNIMET TË TJERA,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 10.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 10.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 10.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 11.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 11.xlsx,Sheet1,11,,VI. PUNIMET NË TUALETE,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 11.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 11.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 11.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 11.xlsx,Sheet1,17,1.2,"Mbrojtja e zdrukthtaris se mbrendeshme dhe te jashtme ne objekt. dritareve dhe dyerve ,inventari dhe elementeve tjera dekorative ne murte e administrates ne ato vende ku nuk jene parapar riparime dhe sanime për të parandaluar dëmtimet fizike gjatë ekzekutimit të punimeve. Siguriimi të bëni me tre shtresa: nga folia e PVC .Llogaritja për e sipërfaqeve të murit të mbuluar me mbrojtje Llogaritja për komplet",komplet,1,25,25,1.00 x 25.00 = 25.00,0.84,
Faqja 11.xlsx,Sheet1,24,6.1,Pregaditja e platformes punuese per kanalizimin e mbrendeshem sipas zgjidhjes te re te krijuar te prezentuar ne dokumentacinin teknik si lidhja me rrjetin ekzistuesvertikal te kanalizimeve në ndërtesë në Përdhesë Në çmimi llogariten edhe depërtimet nepër mure dhe konstruksion te meskateve (pllaka) si dhe rehabilitimin e mureve dhe siperfaqeve horizontale te cilat jene depertue..Në mbi kulm te realizohet ajerimi me koka ventiluese dhe llamarin e gjithe sipas normave dhe standardeve te cilat jene ne fuqi Llog komplet,komplet,1,25,25,1.00 x 25.00 = 25.00,0.84,
Faqja 12.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 12.xlsx,Sheet1,11,,VI. PUNIMET NË TUALETE,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 12.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 12.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 12.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 12.xlsx,Sheet1,16,6.2,"Furnizimi, transporti dhe instalimi i tubave PVC të profileve Ø;110 per vertikale te kanalizimit.Në çmimi te parashifen lidhja me kanalizimin egzistues ,elemente revizionit ,lidhjet meper nivele me knalizimet horizontale sidhe kokat e ventilimit të punuara sipas standardeve dhe normave per kesi lloj punimesh.Te parashifet edhe platforma punuese dhe skelet.",,33,10,330,33.00 x 10.00 = 330.00,0.84,
Faqja 12.xlsx,Sheet1,23,6.3,"Furnizimi, transporti dhe instalimi i tubave PVC të profileve Ø110,Ø75,Ø50 si dhe Redukues neper tualete te parapar sipas zgjiddjes se re te krijuar me dokumentacion teknik.Në çmim te parashifen edhe ujembledhest horizontal,kokat perfundimtare te kanalizimit te sanitarive",,5.5,12,66,5.50 x 12.00 = 66.00,0.84,
Faqja 12.xlsx,Sheet1,28,6.4,"Furnizimi me material si dhe punimi I mveshjes se gypave të kanalizimit neper depertimin shkalleve,kthinave te plastifikuar me elemeente te pllakave te knaufit Në çmim te llogariten edhe punimet tjera percjellese te cilat kerkohen sipas standardeve.deri ne finalizimme ngjyrosje Llog. m'",m,33,10,330,33.00 x 10.00 = 330.00,0.84,
Faqja 13.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 13.xlsx,Sheet1,11,,VII. PUNIMËT E SANITARISË DHE TË NDRYSHME,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 13.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 13.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 13.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 13.xlsx,Sheet1,16,7.1,"Demolimi me kujdes te shtuar i sanitarive egzistuese ,si dhe uje mbledheseve horizontal te dyshemeve si dhe largimi i tyre me transport deri ne deponi,te cilen e caktoninvestitori .Llog ne cop",cop,3,15,45,3.00 x 15.00 = 45.00,0.84,
Faqja 13.xlsx,Sheet1,20,7.2,"Demolimi me kujdes te shtuar i Pllakave keramike ne vendet e parapara te dyshemeve si dhe largimi i tyre me transport deri ne deponi,te cilen e caktoninvestitori .deri ne 6 m2.Llog ne cop",cop,6,10,60,6.00 x 10.00 = 60.00,0.84,
Faqja 13.xlsx,Sheet1,25,7.3,"Blerja, transporti dhe instalimi i një Gaske për WC e cila instalohet ne mur me rezervuar të fshrhur ,duke kursyer hapsir dhe duke ofruar dizajn .gjithë elementët e nevojshëm të lidhëse fazonike për funskionalizim të plotë.Llog komplet",komplet,2,250,500,2.00 x 250.00 = 500.00,0.84,
Faqja 13.xlsx,Sheet1,31,7.4,"Blerja, transporti dhe instalimi i një Pisoari për WC me të gjithë elementët e nevojshëm të lidhëse fazonike për funskionalizim të plotë.Llog komplet",komplet,1,150,150,1.00 x 150.00 = 150.00,0.84,
Faqja 14.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 14.xlsx,Sheet1,11,,VII. PUNIMËT E SANITARISË DHE TË NDRYSHME,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 14.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 14.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 14.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 14.xlsx,Sheet1,16,7.5,"Blerja, transporti dhe montimi i ujembledhesave ne dy tualete dhe ne koridorit",,2,20,40,2.00 x 20.00 = 40.00,0.84,
Faqja 14.xlsx,Sheet1,20,7.6,Furnizimi me material si dhe punimi I keramikave ne mure dhe dysheme.Dizajni duhet te jet sikurse ato egzistues,,10,25,250,10.00 x 25.00 = 250.00,0.84,
Faqja 14.xlsx,Sheet1,25,7.7,Punimet e pa specifikara ne projekt te cilat e munde te shfaqen gjate realizimit te projektite me te gjitha shpenzimet . Llog ne komplet,komplet,1,61.63,61.63,1.00 x 61.63 = 61.63,0.84,
Faqja 14.xlsx,Sheet1,31,7.8,"Pastrimi perfundimtar i punishtes nga mbeturinat e mundeshme te materialeve nderimore,ngarkimi me transport deri ne deponi. Llog ne komplet",komplet,1,50,50,1.00 x 50.00 = 50.00,0.84,
Paramasa per liber ndertimore.xlsx,Renovimi dhe kabina ne DSS,14,1.1,"Shënimi I kantierit me shenja rreziku në zonat ku do të punohet te Rinovimit te objektit sipas projektit detal ,gjatë kohës sa zgjatin punimet. Llog. në komplet",komplet,1,50,50,,0.96,
Paramasa per liber ndertimore.xlsx,Renovimi dhe kabina ne DSS,15,1.2,"Identifikimi dhe dislokimi i instalimeve egzistuese (ujesjelles, kanalizimi,instalime makineris. instalimet rrymes, instalimet telefonise dhe internetit), piketimi dhe regjistrimi në ditarin ndërtimor, me qellim të evitimin parandalimin dëmtimeve eventuale mund të ndikojë në rrezikimin e personelit, Në këtë pozicion përfshihet edhe plani I situacionit të rrjetit ekzistues me qellim që të hartohet plani i veprimit për shkyqje dhe demolim të rrjetit ekzistues pastrimin e terenit dhe pregaditjen e kushteve teknike të përgjithshme për ndërtimin dhe rinovimin e kthinave te cilat do te trajtohen Llog. në komplet",komplet,1,25,25,,0.96,
